Table 1
Pin Number,Pin Name,Pin Name,Used on Dev-PoC-1,GPIO Group,GPIO,UART,[Q]SPI,I2C,I2S,CAN,PWM,ADC,USB,ExtInt,Timer,Flash,SD/MMC,Enet,Smart Card,Video,JTAG,EBI,Critical,Power
1,USB0_ID,USB0 Host/Device identification,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2,"PA.0
QSPI0_SS1 
I2C0_SDA
UART1_RXD
EINT0
TM0_ECNT
CAN3_RXD ","General purpose digital I/O pin Quad SPI0 slave select 1 pin I2C0 data input/output pin UART1 data receiver input pin External interrupt 0 input pin Timer0 event counter input/toggle output pin
CAN3 bus receiver input ",FALSE,Port A,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
3,"PA.1
EBI_nCS2 
EBI_MCLK
I2C0_SCL
UART1_TXD
EINT1
TM1_ECNT
CAN3_TXD ","General purpose digital I/O pin
EBI chip select 2 output pin
EBI external clock output pin
I2C0 clock pin 
UART1 data transmitter output pin External interrupt 1 input pin Timer1 event counter input/toggle output pin 
CAN3 bus transmitter output",FALSE,Port A,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,"PA.2
UART6_CTS 
I2S_LRCK
SC0_CD
JTAG1_TDO
TM2_ECNT ","General purpose digital I/O pin UART6 clear to Send input pin I2S left right channel clock output pin Smart Card 0 card detect pin JTAG1 data output pin Timer2 event counter input/toggle output pin ",TRUE,Port A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
5,"PA.3
UART6_RTS
I2S_BCLK
SC0_PWR
JTAG1_TCK
TM3_ECNT","General purpose digital I/O pin UART6 request to Send output pin I2S bit clock output pin Smart Card 0 power pin JTAG1 clock input pin 
Timer3 event counter input/toggle output pin ",TRUE,Port A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
6,"PA.4
UART6_RXD
I2S_DI
SC0_DAT
JTAG1_TMS
TM4_ECNT ","General purpose digital I/O pin UART6 data receiver input pin I2S data input pin 
Smart Card 0 data pin JTAG1 test mode selection input pin Timer4 event counter input/toggle output pin ",TRUE,Port A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
7,"PA.5
UART6_TXD
I2S_DO
SC0_CLK
JTAG1_TDI
TM5_ECNT","General purpose digital I/O pin UART6 data transmitter output pin I2S data output pin Smart Card 0 clock pin JTAG1 data input pin Timer5 event counter input/toggle output pin ",TRUE,Port A,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
8,"PA.6
EBI_nCS1
I2S_MCLK
SC0_RST
JTAG1_nTRST","General purpose digital I/O pin EBI chip select 1 output pin I2S master clock output pin Smart Card 0 reset pin JTAG1 reset input pin",TRUE,Port A,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
9,VDD33,IO power 3.3V,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,VDD12,Core power 1.2V,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
